Sample_Name,M3-Fe_(mg/kg),M3-Al_(mg/kg),M3-P_(mg/kg),M3-K_(mg/kg),M3-Ca_(mg/kg),M3-Mg_(mg/kg),M3-Mn_(mg/kg),M3-Zn_(mg/kg),M3-Cu_(mg/kg),M3-B_(mg/kg),M3-S_(mg/kg),M3-Si_(mg/kg),NH4-N_(mg/kg),NO3-N_(mg/kg),As_(mg/kg),Cd_(mg/kg),Co_(mg/kg),Cr_(mg/kg),Cu_(mg/kg),Ni_(mg/kg),P_(mg/kg),Pb_(mg/kg),Si_(mg/kg),Zn_(mg/kg),d13C,%C,d15N,%N,Bank_Depth_(in),Total_Depth_(in),%_Depth,Classification,%Sand,%Silt,%Clay,%Coarse,%_Fine,Nitrifier_Copy#_Total_(copy#/g_soil),Dentrifier_Copy#_Total_(NosZ)_(copy#_/g_soil)
BZ_30,352.0989579,587.082447,36.59925729,73.53730047,1192.600879,265.9792491,37.31801399,15.65942923,9.592442428,0.353072879,6.730761259,379.0444096,1.648928,3.503404,3.700249512,0.676076839,15.22285058,54.83994782,55.61565956,58.42374825,872.7424179,72.27415658,1602.744194,184.9270039,-26.659358,2.5962109,9.729812,0.1639031,30,60,50,Upper_Middle_Layer,41.49,51.569,6.941,0.41,0.5851,4168817,4218136
BZ_45,349.9680211,772.4757529,28.74849369,73.88080798,1251.119348,294.6734067,43.69794766,16.65829723,13.16608364,0.399133049,6.768914491,405.8336266,1.09655,3.759419,6.692870683,0.748842937,17.87376779,69.61472372,69.12490116,81.14884767,956.2937691,91.92361348,1177.101327,218.4762841,-26.08262,2.2601173,10.358145,0.1387611,45,60,75,Lower_Middle_Layer,28.69,61.634,9.676,0.29,0.7131,4792444,483692
BZ_60,405.2593633,680.5022001,36.0032234,75.98514552,1464.509053,324.7019246,115.6345309,18.37109022,10.68115914,0.416997752,22.28688658,456.5040987,2.38028,2.860712,6.435252314,0.589329586,17.32176085,62.1370471,71.4125678,67.84545822,1019.333148,83.34333374,1763.52624,204.8555401,-26.464648,4.1134512,8.539608,0.2148312,60,60,100,Bottom_Layer,32.24,59.02,8.74,0.32,0.6776,3620534,4576351
CB_30,179.7752029,835.2949441,14.13823117,29.11065133,44.88743391,20.9842064,19.20239881,0.81059331,1.98881625,0.09,17.26488216,261.5860891,0.507005,4.05801,3.762188843,0.1,14.86311526,25.90763138,27.05616929,22.84760877,308.4585419,12.39750083,1675.135504,61.88692789,-25.9354,0.451617,5.30406,0.021261,30,162,19,Top_Layer,62.7,31.938,5.362,0.63,0.373,0,1600098
CB_54,247.1608409,1089.040202,12.4697099,19.43072742,101.5975388,22.69685743,105.2573594,1.27075446,3.1721825,0.09,20.81376339,281.7960569,0.318115,3.27682,6.555020639,0.1,18.56517563,33.82096209,37.93602624,28.60786655,510.2558016,24.07381148,1863.76506,78.16522805,-26.3474,1.144194,8.37775,0.066309,54,162,33,Upper_Middle_Layer,28.7,62.192,9.108,0.29,0.713,0,1573439
CB_78,265.3298861,1162.815614,9.227184915,27.03388368,326.0573195,44.82435712,127.3532598,1.612509921,3.340656741,0.09,18.42097543,304.5841252,1.551625,3.17466,6.502102263,0.1,21.09000891,35.50573386,43.97754751,29.50156319,566.2389067,25.09182082,1991.75761,83.18475045,-26.443393,1.2479406,11.90801,0.0840995,78,162,48,Upper_Middle_Layer,12.67,76.23,11.1,0.13,0.8733,0,902694
CB_102,297.5404232,1100.210387,8.766818887,31.68096003,403.3469251,88.16665553,131.0990177,1.283808179,2.798887753,0.09,24.57193586,312.3480887,1.328824,2.552193,6.403457577,0.1,17.80974259,33.76183022,34.6197543,28.83396541,522.8421741,19.57103457,1904.882925,78.76081381,-25.890535,1.2585936,11.264064,0.0849786,102,162,63,Lower_Middle_Layer,11.23,77.5,11.27,0.11,0.8877,0,4086436
CB_126,319.0432441,1091.143597,21.63274299,27.9271733,188.82774,46.59104859,32.5695144,2.19649152,4.787507936,0.09,21.49329922,276.5449609,1.56312,2.8748,5.55562166,0.1,17.77128474,34.0781651,42.84086539,28.25977009,523.7690506,20.692018,1898.886555,79.70778038,-26.397088,1.7608176,6.979008,0.0906272,126,162,78,Bottom_Layer,28.64,60.84,10.52,0.29,0.7136,0,8134656
CB_150,519.13077,1141.0334,11.34483,50.59383,264.98949,42.80455,146.5474,2.55964,2.85868,0.09,8.40249,322.83593,2.38,3.64,6.94883932,0.1,20.56766127,38.41969595,59.25607588,32.74806876,674.1661901,27.29991474,2062.213234,91.31727994,-27.11,2.373,9.55,0.134,150,162,93,Bottom_Layer,0,81.8,18.2,0,1,0,675806
CDM_24,143.5166937,348.729257,10.68011606,27.77337613,291.0233697,66.34893948,27.03202269,1.603357606,1.60079405,0.099502012,3.80891342,154.9536681,0.247731,3.052278,1.249741951,0.1,10.94049959,24.62316541,18.7424982,19.88998104,301.8246699,10.83744401,1936.37442,55.95002825,-25.174612,0.3554648,1.164592,0.0089584,24,108,22,Top_Layer,89.82,9.01,1.17,0.9,0.1018,391850,312693
CDM_48,263.7664847,685.5645764,9.944268506,40.93367869,288.3398616,76.9702972,29.89990992,4.048927374,4.558460562,0.09,15.07860295,239.9995443,0.8055755,1.998875,2.634834073,0.1,15.97494683,39.01835644,47.42099244,26.6715427,500.7591715,21.98151652,1915.250885,96.10936057,-24.994878,1.0036664,5.935146,0.0611436,48,108,44,Upper_Middle_Layer,47.29,46.097,6.613,0.47,0.5271,285687,3001636
CDM_72,145.2979445,483.9145745,6.040051928,29.68782683,397.7394402,84.68973748,25.7630064,0.85011465,1.402105822,0.09,12.85300798,180.3041044,0.143457,3.603496,1.404752868,0.1,9.66209924,24.74376422,15.75957813,17.64811209,292.9732447,5.037379507,1686.585698,47.85266773,-25.90632,0.563196,2.683932,0.0262304,72,108,67,Lower_Middle_Layer,76.58,20.18,3.24,0.77,0.2342,2397347,261468
CDM_96,253.0739119,448.996189,6.9133865,17.5241445,329.6399444,72.3178489,23.2065186,1.0168161,1.3553009,0.12009,7.096771,233.6858404,0.09815,2.2493,1,0.1,7.656805163,21.25357149,13.46207635,13.65921785,272.126442,3.456553415,1519.881213,40.81813968,-25.5036,0.42228,1.5691,0.02227,96,108,89,Bottom_Layer,83,14.929,2.071,0.83,0.17,14529,8367
CM_20,153.3460695,847.8342128,3.30646926,20.17014743,213.5047429,65.55664261,142.2918686,0.773427355,1.00164783,0.09,12.61984667,317.5583751,0.065,2.539315,3.992751975,0.1,9.871723422,24.18093801,10.27315339,13.49995134,249.4805901,9.614997068,1776.743996,37.52532189,-24.336825,0.585256,14.25358,0.0463645,20,96,21,Top_Layer,4.05,83.87,12.08,0.04,0.9595,23548,1565164
