Sample_Name,M3-Fe_(mg/kg),M3-Al_(mg/kg),M3-P_(mg/kg),M3-K_(mg/kg),M3-Ca_(mg/kg),M3-Mg_(mg/kg),M3-Mn_(mg/kg),M3-Zn_(mg/kg),M3-Cu_(mg/kg),M3-B_(mg/kg),M3-S_(mg/kg),M3-Si_(mg/kg),NH4-N_(mg/kg),NO3-N_(mg/kg),As_(mg/kg),Cd_(mg/kg),Co_(mg/kg),Cr_(mg/kg),Cu_(mg/kg),Ni_(mg/kg),P_(mg/kg),Pb_(mg/kg),Si_(mg/kg),Zn_(mg/kg),d13C,%C,d15N,%N,Bank_Depth_(in),Total_Depth_(in),%_Depth,Classification,%Sand,%Silt,%Clay,%Coarse,%_Fine,Nitrifier_Copy#_Total_(copy#/g_soil),Dentrifier_Copy#_Total_(NosZ)_(copy#_/g_soil)
MR_12,154.9977257,834.1972513,2.076719414,34.63421561,258.2767686,99.1130401,97.25255579,1.074930964,2.077035008,0.067226862,13.49636655,231.5367642,0.198997,3.432608,1,0.05,16.12839097,39.20049142,33.88996448,23.59334579,226.835919,14.55552233,1068.495221,82.33951629,-24.473668,0.495252,7.4126,0.0325014,12,66,18,Top_Layer,42.98,51.113,5.907,0.43,0.5702,1848,41683
MR_24,134.6963784,910.5264231,2.991834947,58.75299516,344.9588644,113.7802873,130.5374024,1.191912831,2.834767747,0.040667393,13.73043718,224.9852876,0.065,3.125098,2.79923906,0.05,19.42236253,44.15581119,40.32185574,28.49944926,311.3993314,13.88390482,1235.066197,92.24809689,-24.352035,0.6978589,9.587835,0.0506943,24,66,36,Upper_Middle_Layer,26.53,64.29,9.18,0.27,0.7347,48422,163953
MR_36,123.3287322,751.3957443,5.530755925,43.24199568,256.0964398,72.67603852,102.800128,0.975310728,2.700453353,0.0428713,7.181850328,227.66612,0.065,3.8510325,2.323399763,0.05,13.21297731,31.25764976,28.07951399,17.30307616,237.0729327,10.18098448,1108.805479,54.29737886,-26.03328,0.501384,4.881565,0.02302625,36,66,55,Lower_Middle_Layer,64.575,29.917,5.508,0.65,0.35425,13792,96778
MR_60,326.1612904,1217.953693,32.75681045,69.86291295,342.196238,70.0798638,52.2489808,1.30112215,2.23293435,0.1077612,7.9427249,185.8543257,3.26855,3.28175,2.40381255,0.05,16.8471183,39.89059305,37.7080062,27.54871316,394.793195,13.15462244,1375.050046,82.44076869,-26.25185,1.99573,10.50165,0.09821,60,66,91,Bottom_Layer,25.5,62.01,12.49,0.26,0.745,330,44894
NCB_15,121.400081,476.6941683,11.89542049,46.15263014,264.1143313,73.66952145,35.96943918,1.056320352,1.426600758,0.083980578,3.873370068,206.5822254,0.273875,3.082072,1.383209721,0.05,9.795059919,25.75139994,20.90838872,16.1206198,309.6653515,7.031894068,1154.344208,47.81842587,-24.879896,0.3332002,1.38693,0.009469,15,102,15,Top_Layer,88.86,9.968,1.172,0.89,0.1114,104930,157346
NCB_30,138.8561304,526.3306918,8.049858472,31.74552766,220.6649467,57.79585649,47.11585543,0.67289162,1.250072106,0.04651051,5.792727158,213.6457857,1.711644,2.786184,1.497411244,0.05,11.76324099,29.74655148,23.00934435,18.98020095,334.3370909,7.251392118,1150.838379,51.79754129,-24.886156,0.3211862,2.241052,0.0157604,30,102,29,Upper_Middle_Layer,80.78,16.718,2.502,0.81,0.1922,120371,60467
NCB_45,178.0882896,798.4020943,4.531973628,49.68098744,392.1950978,80.69863198,47.47199622,0.811352836,1.771772662,0.075988734,13.60137356,254.8279389,0.387687,2.937752,2.270953025,0.05,17.7056605,46.61780664,35.6227041,29.93509814,433.3464277,11.45310848,1343.321683,83.22561441,-25.106908,0.6761958,7.294924,0.0480984,45,102,44,Upper_Middle_Layer,42.74,49.165,8.095,0.43,0.5726,87719,340891
NCB_60,188.3823082,856.6508299,4.491526688,28.90552644,360.5812376,91.62769011,36.09719636,0.792446032,1.874213264,0.075062956,13.19330696,231.8515906,0.10665,3.07336,2.771369176,0.05,16.4644871,42.28218398,34.67938447,26.78645341,484.538501,15.15771168,1043.025035,76.72935868,-25.19664,0.8064108,8.408348,0.0613456,60,102,59,Lower_Middle_Layer,33.32,57.462,9.218,0.33,0.6668,42921,134850
NCB_75,276.4048538,938.7257258,4.530286455,27.88139935,215.6115317,70.972779,21.20096813,0.753598155,1.67296682,0.06142424,28.80506494,192.965322,0.2423225,3.095255,1,0.05,13.01616901,37.01321881,30.20944214,19.34445426,418.209921,7.01485631,971.5965741,75.71943348,-24.935295,0.892495,6.81681,0.056056,75,102,74,Lower_Middle_Layer,49.95,43.815,6.235,0.5,0.5005,81670,43862
NCB_96,367.1324667,798.4603127,4.127240432,39.08946536,498.7093601,145.0672072,18.28929815,1.021526692,1.669584464,0.078584152,14.36505034,284.2222586,0.56939,3.556592,1,0.05,12.85056663,42.36016233,25.47750788,20.33972655,390.1541176,8.540136957,1057.544731,75.81779601,-24.962748,0.651102,9.198968,0.042308,96,102,94,Bottom_Layer,39.56,51.528,8.912,0.4,0.6044,0,11898
